departamento,municipio,zona_geografica,tipo_comunidad,altitud_msnm,poblacion_total,menores_5,adultos_mayores,gestantes,personas_discapacidad,distancia_km,tiempo_acceso_min,acceso_vial,transporte_disponible,agua_potable,alcantarillado,puesto_salud_cercano,cobertura_salud_pct,cobertura_vacunacion_pct,casos_prioritarios_30d,enfermedades_cronicas,alerta_epidemiologica,ultima_brigada_dias,brigadas_ultimos_12m,demanda_insatisfecha_pct,conectividad,temporada,riesgo_inundacion,riesgo_deslizamiento,prioridad
Sucre,Morroa,Caribe,Afrodescendiente,88,748,146,90,29,25,36.97,46.08,Regular,Limitado,1,0,0,62.93,48.22,3,100,0,232,2,28.4,Sin conexión,Transición,0.51,0.06,CRÍTICA
Antioquia,Valdivia,Andina,Rural,2120,541,75,79,14,9,15.56,19.67,Regular,Terrestre,0,0,1,69.71,59.65,2,87,0,41,1,28.64,Baja,Lluvias,0.34,0.45,MEDIA
Cundinamarca,Villagómez,Andina,Rural dispersa,2330,512,66,81,7,24,52.34,120.38,Difícil,Limitado,0,1,0,63.66,49.07,1,31,0,115,1,40.13,Regular,Seca,0.39,0.45,ALTA
Arauca,Arauca,Orinoquía,Rural dispersa,258,196,34,17,2,4,11.37,30.95,Bueno,Terrestre + 4x4,1,0,0,76.18,60.57,0,18,0,118,1,31.43,Sin conexión,Lluvias,0.34,0.25,BAJA
Risaralda,Pueblo Rico,Andina,Rural dispersa,1347,1093,133,99,50,86,21.69,41.59,Bueno,Terrestre,0,0,0,58.23,72.41,1,187,0,141,0,63.86,Regular,Lluvias,0.21,0.51,ALTA
Antioquia,Amalfi,Andina,Rural dispersa,1503,93,16,10,4,1,69.91,100.12,Muy difícil,Limitado,1,1,0,75.17,43.91,1,5,0,30,2,49.5,Regular,Lluvias,0.24,0.42,ALTA
Antioquia,Copacabana,Andina,Indígena,1945,358,33,52,8,26,27.12,64.31,Regular,Terrestre,0,0,0,53.14,61.63,1,38,0,17,1,37.27,Baja,Transición,0.23,0.41,MEDIA
Chocó,El Atrato,Pacífica,Indígena,34,853,147,92,28,54,25.41,111.23,Regular,Fluvial,1,1,0,72.43,54.83,2,122,0,112,0,21.48,Baja,Lluvias,0.56,0.45,MEDIA
Magdalena,Santa Bárbara de Pinto,Caribe,Rural dispersa,47,249,37,42,11,18,23.57,43.4,Difícil,Limitado,0,1,0,61.57,65.86,1,31,0,68,0,24.29,Baja,Lluvias,0.55,0.35,MEDIA
Córdoba,Chimá,Caribe,Afrodescendiente,88,649,83,100,18,11,41.93,68.17,Difícil,No disponible,0,1,0,70.27,80.18,1,52,0,126,2,53.92,Baja,Lluvias,0.38,0.15,ALTA
Cauca,Popayán,Andina,Rural dispersa,1614,111,20,13,3,5,37.73,66.56,Regular,Terrestre,1,1,0,93.19,67.46,1,12,0,168,2,27.81,Buena,Transición,0.19,0.41,ALTA
Cundinamarca,Zipacón,Andina,Rural,2554,746,68,109,13,27,66.73,75.87,Regular,Terrestre + 4x4,1,0,0,59.58,61.68,1,133,0,561,1,64.15,Regular,Seca,0.18,0.49,CRÍTICA
Magdalena,Concordia,Caribe,Indígena,223,231,30,13,7,2,117.07,128.52,Regular,Terrestre,1,0,0,75.37,79.95,1,33,0,310,2,24.8,Sin conexión,Seca,0.45,0.33,ALTA
Magdalena,Pedraza,Caribe,Campesina,45,145,13,23,1,1,92.88,205.37,Bueno,Terrestre,1,0,0,72.62,53.07,0,13,0,14,2,38.27,Regular,Transición,0.2,0.21,MEDIA
Tolima,Villarrica,Andina,Campesina,859,134,17,14,1,2,13.13,32.3,Regular,Terrestre,1,0,1,76.89,85.99,0,7,1,185,1,41.24,Baja,Lluvias,0.32,0.55,MEDIA
Boyacá,Caldas,Andina,Rural dispersa,2718,110,11,12,5,2,14.38,25.77,Regular,Terrestre + 4x4,0,0,0,89.82,90.87,2,11,0,86,1,15.9,Regular,Lluvias,0.13,0.43,MEDIA
Sucre,Coveñas,Caribe,Afrodescendiente,37,828,122,110,40,35,49.36,54.15,Difícil,Motocicleta,1,1,0,72.94,56.35,3,69,0,172,2,49.61,Regular,Lluvias,0.67,0.34,ALTA
Putumayo,Sibundoy,Amazonía,Rural,1274,463,68,30,22,24,56.11,121.5,Difícil,Fluvial + Terrestre,0,1,0,58.04,74.51,2,27,0,279,2,41.4,Sin conexión,Seca,0.51,0.56,CRÍTICA
Tolima,Natagaima,Andina,Afrodescendiente,824,657,86,75,25,40,64.83,96.57,Difícil,No disponible,1,0,0,47.55,68.24,1,46,0,38,1,43.83,Regular,Lluvias,0.48,0.48,ALTA
Cundinamarca,El Peñón,Andina,Rural dispersa,2972,121,9,11,5,7,38.21,110.28,Bueno,Terrestre,0,0,0,47.67,56.89,1,13,0,88,3,22.53,Buena,Transición,0.16,0.51,ALTA
Magdalena,Pijiño del Carmen,Caribe,Indígena,102,257,40,38,6,5,14.21,45.92,Difícil,Terrestre,0,0,1,86.89,98.0,0,35,1,46,1,30.57,Sin conexión,Transición,0.46,0.3,BAJA
Antioquia,Dabeiba,Andina,Rural,1824,110,24,17,5,6,30.08,47.84,Difícil,Terrestre,1,1,0,68.59,51.06,2,13,0,212,3,52.07,Regular,Lluvias,0.32,0.33,CRÍTICA
Valle del Cauca,Yumbo,Andina,Rural dispersa,1264,66,13,11,1,3,22.51,44.16,Regular,Terrestre,0,0,0,59.67,74.2,2,5,1,94,1,54.46,Baja,Lluvias,0.36,0.41,ALTA
Antioquia,El Retiro,Andina,Rural,1827,428,86,58,5,33,49.23,147.22,Regular,Terrestre + 4x4,0,1,0,75.39,53.09,0,38,0,390,3,7.42,Regular,Transición,0.21,0.42,ALTA
Santander,Contratación,Andina,Rural dispersa,1302,85,18,13,4,1,32.47,56.99,Muy difícil,No disponible,1,0,0,89.18,86.1,1,11,0,730,0,30.08,Regular,Seca,0.32,0.58,ALTA
Santander,Ocamonte,Andina,Rural dispersa,1531,752,78,123,11,16,18.63,21.17,Regular,Limitado,0,1,1,71.99,55.82,1,42,0,246,2,12.04,Regular,Seca,0.2,0.62,MEDIA
Cundinamarca,Tibacuy,Andina,Rural dispersa,2436,148,25,16,4,11,6.1,17.64,Bueno,Motocicleta,0,0,1,65.09,95.62,0,14,0,3,1,45.1,Buena,Seca,0.28,0.5,BAJA
Chocó,Medio San Juan,Pacífica,Indígena,81,458,62,65,9,14,17.55,57.13,Difícil,Fluvial,1,1,0,69.44,61.53,3,41,0,238,0,40.44,Baja,Seca,0.6,0.57,ALTA
Boyacá,Tinjacá,Andina,Rural dispersa,2061,283,42,41,5,20,37.61,95.88,Regular,Terrestre,0,0,0,60.15,60.39,0,28,0,98,1,31.5,Buena,Seca,0.05,0.55,MEDIA
Bolívar,Norosí,Caribe,Campesina,294,1098,178,60,20,17,35.76,137.4,Regular,Terrestre,0,0,0,70.08,98.0,3,56,0,244,1,2.0,Baja,Lluvias,0.51,0.11,ALTA
Antioquia,Concepción,Andina,Rural dispersa,1487,148,15,23,4,5,6.44,21.48,Difícil,Terrestre,0,0,1,77.27,64.7,1,10,0,280,0,26.68,Regular,Seca,0.3,0.51,MEDIA
Cundinamarca,Sesquilé,Andina,Rural,2800,227,39,26,10,5,12.15,25.86,Bueno,No disponible,1,0,1,71.4,66.5,1,39,0,42,1,25.77,Buena,Lluvias,0.22,0.41,MEDIA
Bolívar,Margarita,Caribe,Afrodescendiente,202,303,52,30,9,9,78.21,147.78,Difícil,Terrestre,1,0,0,76.45,39.12,0,37,0,296,0,49.1,Sin conexión,Lluvias,0.51,0.21,CRÍTICA
Valle del Cauca,Andalucía,Andina,Rural dispersa,1886,371,37,41,8,12,34.32,38.8,Regular,Terrestre + 4x4,0,0,0,52.9,61.97,1,64,0,190,0,40.83,Baja,Lluvias,0.48,0.38,ALTA
Boyacá,Tipacoque,Andina,Campesina,2440,1237,182,81,46,23,12.6,26.16,Bueno,Terrestre + 4x4,1,0,0,66.39,97.22,3,168,0,85,2,35.03,Regular,Seca,0.26,0.6,MEDIA
Caldas,Marulanda,Andina,Rural dispersa,1871,670,123,115,12,31,26.69,46.08,Regular,Terrestre,1,0,0,79.48,92.03,1,35,0,365,0,8.11,Buena,Transición,0.28,0.5,MEDIA
Norte de Santander,Hacarí,Andina,Indígena,1334,237,33,19,3,12,12.71,34.16,Regular,Limitado,0,0,1,86.89,65.19,1,27,1,112,0,6.79,Buena,Lluvias,0.45,0.42,MEDIA
Chocó,Quibdó,Pacífica,Rural,255,457,72,81,5,33,140.1,459.17,Muy difícil,Limitado,0,0,0,71.54,40.88,0,27,0,730,1,57.08,Regular,Seca,0.67,0.46,CRÍTICA
Antioquia,Salgar,Andina,Indígena,1901,261,57,17,6,8,24.76,71.72,Difícil,Terrestre,1,0,0,81.41,52.35,0,43,1,23,0,37.06,Sin conexión,Seca,0.18,0.51,MEDIA
Meta,El Castillo,Orinoquía,Rural,541,198,38,34,5,3,35.9,41.24,Muy difícil,Motocicleta,0,0,0,79.97,64.48,0,16,0,334,0,41.73,Sin conexión,Lluvias,0.28,0.23,ALTA
Cundinamarca,Chaguaní,Andina,Indígena,2975,530,110,56,10,20,15.44,61.56,Regular,Terrestre,1,0,1,77.57,61.44,1,52,0,198,1,36.5,Baja,Transición,0.15,0.39,MEDIA
Nariño,La Cruz,Andina,Indígena,2207,101,21,17,2,4,48.57,93.87,Regular,No disponible,1,0,0,80.41,75.6,0,15,0,155,2,23.56,Regular,Lluvias,0.27,0.52,CRÍTICA
Córdoba,San Andrés de Sotavento,Caribe,Afrodescendiente,149,255,40,43,11,13,7.03,9.1,Bueno,No disponible,1,0,1,95.93,52.08,1,31,0,330,1,36.05,Sin conexión,Seca,0.49,0.12,MEDIA
Huila,Guadalupe,Andina,Afrodescendiente,917,456,63,67,8,31,25.14,55.03,Bueno,Terrestre,1,1,0,75.24,54.06,0,25,1,361,3,22.49,Regular,Seca,0.37,0.53,MEDIA
Córdoba,Valencia,Caribe,Rural dispersa,19,1730,320,305,60,30,64.07,83.38,Difícil,Terrestre,1,0,0,98.0,92.83,7,124,0,171,3,47.53,Buena,Seca,0.51,0.18,CRÍTICA
Vichada,Puerto Carreño,Orinoquía,Rural dispersa,312,151,20,26,2,3,30.59,131.28,Difícil,Fluvial,0,0,0,68.3,60.82,1,25,0,179,1,52.69,Baja,Transición,0.57,0.17,ALTA
Boyacá,Chiscas,Andina,Afrodescendiente,3571,193,31,27,3,6,75.08,82.65,Bueno,Terrestre,1,0,0,89.88,60.02,1,30,1,397,4,19.66,Regular,Transición,0.24,0.4,CRÍTICA
Atlántico,Baranoa,Caribe,Rural,0,752,154,75,9,59,12.39,24.59,Regular,Terrestre,1,0,0,72.24,73.27,0,115,0,178,1,15.86,Buena,Seca,0.46,0.0,MEDIA
Chocó,Unguía,Pacífica,Indígena,26,1632,281,219,33,108,12.73,46.81,Bueno,Fluvial + Terrestre,0,1,1,60.11,75.72,3,124,0,39,0,51.42,Sin conexión,Lluvias,0.54,0.46,BAJA
Santander,Coromoro,Andina,Rural,1087,272,40,41,5,9,28.98,47.93,Regular,Limitado,1,1,0,86.02,80.58,0,37,0,64,2,40.85,Baja,Seca,0.3,0.44,MEDIA
Norte de Santander,Ragonvalia,Andina,Rural,1436,218,17,24,10,7,57.89,182.29,Regular,Limitado,1,0,0,70.18,78.8,1,35,0,9,2,46.29,Regular,Seca,0.36,0.49,MEDIA
Boyacá,Soracá,Andina,Rural dispersa,2696,240,38,37,7,13,62.47,69.35,Regular,Terrestre,1,0,0,81.3,75.99,0,39,0,194,4,25.68,Baja,Seca,0.18,0.4,ALTA
Magdalena,Chibolo,Caribe,Afrodescendiente,269,773,133,89,17,60,28.81,57.15,Bueno,Fluvial + Terrestre,0,1,0,59.21,54.5,4,131,0,284,2,20.82,Baja,Lluvias,0.4,0.33,MEDIA
Santander,Betulia,Andina,Campesina,1153,61,8,8,2,4,23.78,53.42,Bueno,Limitado,1,0,0,73.44,41.99,0,6,1,138,1,38.19,Regular,Transición,0.34,0.52,ALTA
Atlántico,Galapa,Caribe,Rural,0,140,18,13,5,8,32.07,47.77,Bueno,Fluvial + Terrestre,1,1,0,68.07,75.83,0,20,0,234,3,21.01,Baja,Lluvias,0.44,0.12,MEDIA
Nariño,Ricaurte,Andina,Afrodescendiente,1665,473,98,69,18,11,17.47,24.49,Difícil,No disponible,1,1,0,83.07,79.31,3,53,0,35,1,21.54,Regular,Lluvias,0.31,0.6,MEDIA
Risaralda,Quinchía,Andina,Campesina,1345,1289,279,104,55,39,17.6,40.2,Bueno,Terrestre,1,0,1,88.31,97.27,3,151,0,1,2,6.55,Regular,Seca,0.22,0.47,MEDIA
Boyacá,Miraflores,Andina,Rural dispersa,3324,80,15,6,3,5,24.55,60.65,Difícil,Terrestre + 4x4,1,1,0,67.02,63.17,0,5,0,107,0,27.28,Buena,Seca,0.24,0.46,MEDIA
Tolima,Valle de San Juan,Andina,Rural,826,1861,286,125,33,37,11.2,18.59,Regular,Limitado,1,0,1,85.26,86.06,9,300,0,30,1,20.86,Regular,Transición,0.48,0.73,MEDIA
Valle del Cauca,Bolívar,Andina,Rural dispersa,1598,166,31,13,3,5,27.31,51.07,Regular,Terrestre,0,0,0,61.11,50.34,0,24,0,6,2,18.11,Regular,Seca,0.24,0.3,BAJA
Boyacá,Socha,Andina,Indígena,2345,240,30,31,10,18,28.82,53.78,Regular,Terrestre,0,0,0,61.59,81.33,0,19,0,33,1,25.27,Regular,Seca,0.2,0.43,BAJA
Santander,Cepitá,Andina,Campesina,1289,454,94,68,15,22,42.42,46.71,Regular,Limitado,1,0,0,68.93,68.73,1,37,0,13,1,29.33,Buena,Transición,0.38,0.47,ALTA
Santander,Capitanejo,Andina,Campesina,1274,240,33,38,10,7,14.33,47.47,Regular,Terrestre,0,0,1,98.0,76.09,0,42,0,63,1,21.4,Regular,Transición,0.3,0.52,BAJA
Huila,Elías,Andina,Rural dispersa,1022,331,50,21,10,15,9.42,26.91,Regular,No disponible,0,0,0,64.26,86.55,0,35,0,41,1,29.24,Baja,Transición,0.37,0.41,MEDIA
Antioquia,Ciudad Bolívar,Andina,Indígena,1689,1006,124,116,20,75,32.06,87.68,Regular,Terrestre,1,0,0,77.96,68.7,2,71,0,292,4,48.2,Buena,Transición,0.36,0.33,CRÍTICA
Antioquia,Briceño,Andina,Afrodescendiente,2017,158,28,9,6,6,17.02,29.18,Difícil,No disponible,1,0,1,86.62,60.78,1,6,0,91,1,47.3,Regular,Seca,0.18,0.45,MEDIA
Antioquia,Vigía del Fuerte,Andina,Campesina,2492,295,36,34,3,17,30.18,113.59,Regular,Terrestre + 4x4,1,1,0,58.17,74.62,0,31,0,185,0,37.64,Regular,Lluvias,0.36,0.53,MEDIA
Caldas,Manzanares,Andina,Rural dispersa,2049,323,42,23,14,23,70.88,82.02,Regular,Terrestre,1,1,0,56.91,85.48,1,27,0,15,3,31.14,Regular,Seca,0.21,0.43,MEDIA
Valle del Cauca,Dagua,Andina,Afrodescendiente,1833,233,21,32,6,4,10.08,15.83,Regular,Terrestre + 4x4,0,0,0,65.98,70.23,0,13,0,667,1,4.95,Buena,Lluvias,0.33,0.45,BAJA
Valle del Cauca,Ulloa,Andina,Indígena,1465,234,34,12,9,5,18.36,69.32,Regular,Limitado,1,0,0,58.59,90.83,1,28,0,50,1,15.17,Buena,Lluvias,0.33,0.29,BAJA
Boyacá,Berbeo,Andina,Rural dispersa,2733,183,30,23,7,5,79.02,98.31,Regular,Limitado,0,0,0,79.82,59.55,1,8,0,318,3,26.65,Regular,Lluvias,0.16,0.51,ALTA
Antioquia,Carepa,Andina,Rural dispersa,1970,202,32,27,3,8,35.51,43.97,Difícil,Limitado,1,0,0,78.79,93.06,2,25,0,49,1,54.94,Buena,Transición,0.36,0.46,ALTA
Santander,Santa Bárbara,Andina,Rural,1093,398,47,50,16,29,26.03,40.38,Difícil,No disponible,1,0,0,78.69,40.12,0,57,0,294,0,46.63,Buena,Lluvias,0.19,0.46,ALTA
Boyacá,Cerinza,Andina,Rural dispersa,2888,107,21,10,3,2,45.96,125.64,Bueno,Terrestre + 4x4,0,1,0,74.62,56.63,1,5,0,374,2,43.66,Sin conexión,Seca,0.14,0.47,ALTA
Casanare,Recetor,Orinoquía,Campesina,300,460,73,64,19,25,75.19,148.95,Muy difícil,Terrestre + 4x4,1,1,0,76.88,79.72,1,78,0,88,0,28.57,Sin conexión,Seca,0.43,0.32,ALTA
Antioquia,Caracolí,Andina,Rural,1664,631,128,67,15,33,21.41,30.12,Difícil,Terrestre + 4x4,1,1,0,58.74,82.08,1,40,0,138,1,46.75,Buena,Transición,0.29,0.57,MEDIA
Atlántico,Manatí,Caribe,Rural dispersa,29,107,19,7,1,8,19.77,24.34,Muy difícil,Limitado,0,0,1,92.12,86.55,0,13,0,27,0,33.24,Regular,Seca,0.4,0.12,MEDIA
Boyacá,Siachoque,Andina,Rural,2224,355,31,33,10,9,7.94,27.9,Regular,Limitado,1,0,1,76.81,79.3,2,57,0,164,1,41.24,Regular,Seca,0.25,0.58,MEDIA
Bolívar,Calamar,Caribe,Rural,128,200,28,16,4,14,57.68,121.43,Difícil,Limitado,1,1,0,67.25,64.95,0,12,0,359,2,66.86,Sin conexión,Lluvias,0.4,0.26,CRÍTICA
Casanare,Monterrey,Orinoquía,Rural dispersa,297,557,63,71,11,19,13.04,22.35,Regular,Terrestre,1,0,0,74.62,41.72,4,90,0,146,0,30.72,Baja,Lluvias,0.39,0.16,MEDIA
Meta,Mesetas,Orinoquía,Campesina,469,592,49,83,6,36,81.75,229.59,Difícil,No disponible,1,0,0,48.63,68.38,1,59,0,110,3,33.26,Baja,Lluvias,0.5,0.27,ALTA
La Guajira,San Juan del Cesar,Caribe,Indígena,175,76,11,11,2,1,92.93,178.79,Regular,Motocicleta,1,0,0,71.64,58.1,2,9,0,40,1,19.63,Baja,Seca,0.32,0.19,ALTA
Santander,El Guacamayo,Andina,Rural dispersa,938,281,28,50,12,15,16.82,29.59,Regular,No disponible,0,1,1,61.48,63.92,2,24,0,166,1,19.88,Regular,Seca,0.29,0.64,MEDIA
Bolívar,Cantagallo,Caribe,Rural,233,95,18,9,3,4,36.38,44.26,Regular,No disponible,1,1,0,73.62,25.0,0,14,0,394,1,45.81,Buena,Seca,0.46,0.23,ALTA
Cundinamarca,Guachetá,Andina,Campesina,2576,375,66,48,14,6,81.55,112.26,Bueno,No disponible,0,0,0,57.77,77.36,1,24,0,49,1,50.17,Buena,Transición,0.38,0.54,CRÍTICA
Cundinamarca,Guayabetal,Andina,Campesina,2645,243,25,15,4,9,24.19,56.05,Bueno,No disponible,1,0,0,70.89,64.53,0,17,0,7,2,61.53,Baja,Transición,0.18,0.39,BAJA
Caquetá,Cartagena del Chairá,Amazonía,Rural dispersa,362,143,22,18,4,2,15.09,44.14,Bueno,Terrestre,0,0,0,85.75,55.4,0,13,0,241,1,8.51,Baja,Seca,0.22,0.21,MEDIA
Sucre,Galeras,Caribe,Rural,174,349,50,55,9,15,9.88,25.43,Difícil,Limitado,1,1,1,67.44,71.18,0,31,0,219,1,44.72,Baja,Seca,0.38,0.22,MEDIA
Vichada,Cumaribo,Orinoquía,Indígena,276,881,110,124,31,33,62.69,297.28,Muy difícil,Limitado,0,0,0,49.27,79.26,2,149,0,63,0,48.53,Baja,Lluvias,0.47,0.25,CRÍTICA
Norte de Santander,Cáchira,Andina,Rural dispersa,1092,102,9,8,3,6,21.9,33.24,Regular,No disponible,1,0,0,79.08,98.0,0,17,0,170,2,28.17,Sin conexión,Lluvias,0.25,0.39,MEDIA
Nariño,Funes,Andina,Rural dispersa,2538,183,36,22,2,5,7.68,8.97,Regular,Terrestre,0,0,1,88.21,53.46,1,8,0,70,0,37.44,Baja,Transición,0.28,0.5,BAJA
Cundinamarca,Anapoima,Andina,Campesina,2349,212,23,13,7,4,71.79,80.62,Bueno,Terrestre,0,0,0,94.78,73.54,0,37,0,26,0,32.89,Sin conexión,Seca,0.27,0.49,MEDIA
Antioquia,Concepción,Andina,Afrodescendiente,1457,51,5,5,2,1,15.19,35.33,Bueno,Terrestre,1,1,0,67.71,64.02,2,3,0,435,1,54.96,Baja,Seca,0.46,0.51,MEDIA
Bolívar,San Jacinto,Caribe,Indígena,262,306,27,27,4,10,15.82,35.94,Bueno,Terrestre,0,0,1,84.05,57.0,0,44,0,108,2,37.08,Sin conexión,Lluvias,0.45,0.18,BAJA
Meta,Mesetas,Orinoquía,Indígena,540,587,116,46,19,20,30.62,40.15,Difícil,Limitado,0,0,0,73.32,70.29,3,79,0,459,1,38.77,Baja,Lluvias,0.6,0.2,CRÍTICA
Boyacá,Chita,Andina,Rural,3484,344,42,27,15,27,53.36,72.97,Regular,Fluvial + Terrestre,0,1,0,69.97,94.33,1,47,0,120,1,18.27,Regular,Lluvias,0.42,0.46,MEDIA
Santander,Enciso,Andina,Rural dispersa,1065,153,32,15,4,10,11.58,17.27,Regular,Limitado,1,0,0,75.43,71.83,0,9,0,660,3,24.17,Regular,Lluvias,0.42,0.35,MEDIA
Boyacá,Mongua,Andina,Afrodescendiente,2618,1640,258,104,38,96,37.47,53.53,Regular,Terrestre,0,0,0,60.85,93.09,8,278,0,128,2,57.69,Baja,Seca,0.2,0.5,ALTA
Antioquia,Granada,Andina,Campesina,1742,140,30,13,2,4,67.46,88.49,Difícil,Terrestre,0,0,0,58.56,80.56,1,23,0,165,1,40.43,Buena,Lluvias,0.3,0.3,CRÍTICA
Magdalena,Santa Bárbara de Pinto,Caribe,Campesina,213,751,79,41,21,35,98.89,341.47,Regular,Terrestre,1,0,0,81.67,85.78,2,77,0,529,0,51.99,Baja,Lluvias,0.53,0.2,ALTA
Santander,San Vicente de Chucurí,Andina,Rural,1122,297,31,29,6,16,36.57,52.54,Bueno,Terrestre,1,1,0,87.04,73.39,0,50,0,534,0,9.64,Baja,Transición,0.27,0.47,MEDIA
Quindío,Armenia,Andina,Rural dispersa,894,286,36,26,13,22,40.82,56.71,Bueno,Terrestre,1,0,0,98.0,67.72,0,42,0,166,2,37.18,Sin conexión,Lluvias,0.32,0.48,MEDIA
Boyacá,Chivatá,Andina,Rural,3208,148,20,22,1,8,2.48,6.79,Regular,Terrestre + 4x4,1,0,1,72.53,78.32,0,11,1,524,1,47.64,Regular,Transición,0.1,0.51,MEDIA
Boyacá,San Pablo de Borbur,Andina,Indígena,2051,511,85,51,23,25,27.92,108.36,Difícil,Terrestre,1,0,0,69.35,57.07,1,43,0,31,1,27.88,Baja,Seca,0.33,0.52,MEDIA
Arauca,Saravena,Orinoquía,Rural,243,495,92,83,24,22,15.93,63.15,Regular,No disponible,1,1,0,49.85,75.78,2,83,0,82,1,42.92,Regular,Transición,0.24,0.07,ALTA
Santander,Sabana de Torres,Andina,Rural dispersa,1729,497,67,82,21,10,31.5,52.99,Difícil,Terrestre,1,0,0,72.97,63.8,0,48,0,35,1,23.2,Buena,Transición,0.28,0.45,MEDIA
Santander,Charalá,Andina,Campesina,1510,558,96,59,6,34,27.31,45.81,Difícil,Terrestre,0,0,0,81.37,54.37,1,61,1,200,0,44.71,Baja,Transición,0.35,0.5,ALTA
Antioquia,Montebello,Andina,Rural,2023,151,24,16,3,8,16.32,59.46,Difícil,Terrestre + 4x4,0,0,1,77.38,76.73,1,25,0,300,2,46.52,Buena,Seca,0.19,0.62,ALTA
Antioquia,Briceño,Andina,Rural dispersa,1302,818,88,123,13,26,84.77,260.8,Difícil,Limitado,0,0,0,72.33,68.6,1,56,0,57,0,59.09,Regular,Lluvias,0.25,0.45,CRÍTICA
Cundinamarca,Junín,Andina,Rural dispersa,3215,137,16,7,1,6,45.1,115.76,Muy difícil,Terrestre,1,0,0,69.88,52.05,0,11,0,89,0,14.72,Buena,Lluvias,0.37,0.44,ALTA
Cesar,Río de Oro,Caribe,Rural dispersa,233,770,165,81,7,52,10.3,23.18,Difícil,No disponible,1,0,1,79.19,50.46,1,37,0,77,3,56.21,Regular,Lluvias,0.51,0.31,MEDIA
Cundinamarca,Cachipay,Andina,Rural dispersa,2201,550,87,32,25,10,31.88,43.9,Regular,Fluvial,1,0,0,78.8,49.93,3,69,0,17,1,18.18,Regular,Transición,0.24,0.42,MEDIA
Sucre,Majagual,Caribe,Afrodescendiente,51,184,27,18,7,9,14.83,26.59,Bueno,Terrestre,1,0,1,80.7,70.07,1,21,0,28,0,54.64,Baja,Seca,0.63,0.14,BAJA
Bolívar,María la Baja,Caribe,Afrodescendiente,117,470,96,28,6,28,46.42,81.28,Difícil,No disponible,1,1,0,93.06,65.92,0,31,0,36,1,44.94,Regular,Transición,0.47,0.19,MEDIA
Santander,Suaita,Andina,Rural dispersa,1126,147,20,10,7,2,5.87,10.09,Regular,Fluvial,0,0,0,65.26,65.18,3,11,0,378,2,32.71,Regular,Lluvias,0.21,0.55,MEDIA
Antioquia,Itagüí,Andina,Rural,1737,198,28,17,2,11,28.1,55.91,Regular,Terrestre,1,1,0,89.75,48.55,0,9,0,288,1,39.37,Regular,Seca,0.34,0.5,MEDIA
Meta,Guamal,Orinoquía,Afrodescendiente,477,349,51,28,12,21,7.79,18.58,Difícil,Limitado,1,1,0,64.54,73.21,1,31,0,146,0,66.99,Baja,Seca,0.44,0.11,ALTA
Antioquia,Sabaneta,Andina,Rural dispersa,1582,1075,166,148,26,26,11.79,18.12,Bueno,Terrestre,1,0,1,63.6,65.44,3,71,0,184,1,54.67,Baja,Lluvias,0.12,0.4,MEDIA
Antioquia,San Juan de Urabá,Andina,Rural dispersa,2319,461,96,54,16,10,20.5,35.45,Difícil,Limitado,1,1,0,70.73,51.76,3,68,0,198,1,65.87,Buena,Lluvias,0.34,0.41,CRÍTICA
Putumayo,Orito,Amazonía,Afrodescendiente,971,282,25,17,5,12,32.97,75.48,Difícil,Fluvial + Terrestre,0,0,0,68.7,52.18,1,32,0,7,0,20.52,Sin conexión,Lluvias,0.41,0.47,MEDIA
Magdalena,Santa Ana,Caribe,Campesina,107,502,104,71,24,5,52.19,84.11,Regular,Terrestre,0,0,0,54.03,56.36,2,20,1,6,2,35.32,Regular,Transición,0.46,0.31,ALTA
Magdalena,Sabanas de San Ángel,Caribe,Indígena,123,153,29,16,6,6,73.56,139.18,Difícil,Limitado,1,0,0,71.78,91.82,0,13,0,29,1,45.72,Regular,Seca,0.4,0.52,ALTA
Sucre,San Antonio de Palmito,Caribe,Rural dispersa,129,1666,361,231,76,115,16.77,19.83,Regular,Terrestre,0,1,1,58.71,97.66,6,240,0,50,2,23.4,Baja,Transición,0.49,0.18,MEDIA
Tolima,Coello,Andina,Indígena,627,957,90,98,16,45,28.89,53.57,Regular,Terrestre,0,0,0,54.33,74.71,1,77,0,65,2,23.07,Baja,Seca,0.41,0.59,MEDIA
Sucre,Colosó,Caribe,Rural dispersa,119,292,62,51,5,19,43.27,107.92,Bueno,Terrestre,0,0,0,67.43,86.38,1,14,0,327,2,2.0,Buena,Lluvias,0.44,0.2,ALTA
Guaviare,Calamar,Amazonía,Indígena,259,163,17,26,6,5,19.93,64.93,Regular,Fluvial,0,0,0,61.56,45.11,1,24,0,273,3,29.09,Baja,Seca,0.49,0.24,ALTA
Huila,Isnos,Andina,Campesina,1038,508,50,30,17,24,69.87,150.24,Bueno,Terrestre,0,0,0,48.36,63.03,1,58,0,127,0,36.85,Regular,Lluvias,0.32,0.48,ALTA
Bolívar,El Peñón,Caribe,Rural,255,312,61,44,4,17,37.6,73.48,Regular,Terrestre,1,1,0,63.57,87.07,0,27,0,63,1,33.21,Baja,Lluvias,0.42,0.19,MEDIA
Córdoba,San Antero,Caribe,Campesina,204,249,26,40,2,4,9.0,11.78,Regular,Terrestre,1,1,0,66.44,36.21,2,25,0,112,3,24.78,Regular,Lluvias,0.39,0.38,MEDIA
